item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
군산시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
군산시 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
군산시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
군산시 - 전문대＜br＞(B),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0
군포시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
군포시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
군포시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
금산군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
금산군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
금산군 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
금정구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
금정구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
금정구 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
금정구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
김제시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
김제시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
김천시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
